Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  48  9.112825e+15    7.34e+14    1.78e+17   5.27e+00   4.11e-01  3.03e+00        1    8.89e-04    4.51e-02
  49  8.437294e+15    6.76e+14    1.67e+17   5.25e+00   4.12e-01  3.01e+00        1    8.90e-04    4.60e-02
  50  7.814851e+15    6.22e+14    1.58e+17   5.23e+00   4.13e-01  3.00e+00        1    8.59e-04    4.69e-02
residual 7.81485e+15
Accelerometers Calibration: Extracted 40 intervals using threshold multiplier 3 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.351192e+17    0.00e+00    5.21e+18   0.00e+00   0.00e+00  1.00e+04        0    4.40e-04    6.00e-04
   1  6.058038e+19   -6.00e+19    5.21e+18   2.37e+04  -1.12e+02  5.00e+03        1    4.01e-04    1.01e-03
   2  5.501137e+19   -5.45e+19    5.21e+18   2.24e+04  -1.02e+02  1.25e+03        1    3.89e-04    1.41e-03
   3  4.174759e+19   -4.12e+19    5.21e+18   1.86e+04  -7.79e+01  1.56e+02        1    3.90e-04    1.81e-03
   4  1.040442e+19   -9.87e+18    5.21e+18   9.37e+03  -2.20e+01  9.77e+00        1    5.05e-04    2.32e-03
   5  5.430030e+17   -7.88e+15    5.21e+18   1.28e+03  -4.71e-02  3.05e-01        1    7.32e-04    3.06e-03
   6  5.014409e+17    3.37e+16    3.72e+18   2.59e+02   4.26e-01  3.04e-01        1    9.71e-04    4.03e-03
   7  4.855427e+17    1.59e+16    2.75e+18   1.56e+02   4.56e-01  3.04e-01        1    8.49e-04    4.89e-03
   8  4.763681e+17    9.17e+15    2.13e+18   9.36e+01   5.20e-01  3.04e-01        1    8.48e-04    5.74e-03
   9  4.698480e+17    6.52e+15    1.73e+18   5.76e+01   6.07e-01  3.07e-01        1    8.48e-04    6.60e-03
  10  4.644508e+17    5.40e+15    1.47e+18   3.65e+01   6.93e-01  3.26e-01        1    8.14e-04    7.42e-03
  11  4.594039e+17    5.05e+15    1.29e+18   2.38e+01   7.64e-01  3.82e-01        1    8.54e-04    8.28e-03
  12  4.540590e+17    5.34e+15    1.19e+18   1.59e+01   8.15e-01  5.10e-01        1    8.16e-04    9.10e-03
  13  4.476052e+17    6.45e+15    1.14e+18   1.45e+01   8.45e-01  7.58e-01        1    1.20e-03    1.03e-02
  14  4.389932e+17    8.61e+15    1.18e+18   2.84e+01   8.35e-01  1.08e+00        1    9.06e-04    1.12e-02
  15  4.276417e+17    1.14e+16    1.29e+18   4.40e+01   7.75e-01  1.30e+00        1    9.08e-04    1.21e-02
  16  4.140422e+17    1.36e+16    1.39e+18   3.64e+01   7.03e-01  1.39e+00        1    8.68e-04    1.30e-02
  17  3.992014e+17    1.48e+16    1.43e+18   2.16e+01   6.55e-01  1.43e+00        1    8.79e-04    1.39e-02
  18  3.839894e+17    1.52e+16    1.44e+18   1.23e+01   6.31e-01  1.46e+00        1    8.48e-04    1.48e-02
  19  3.688541e+17    1.51e+16    1.43e+18   7.29e+00   6.18e-01  1.48e+00        1    8.18e-04    1.56e-02
  20  3.540081e+17    1.48e+16    1.40e+18   4.66e+00   6.10e-01  1.50e+00        1    1.03e-03    1.66e-02
  21  3.395525e+17    1.45e+16    1.37e+18   3.28e+00   6.05e-01  1.51e+00        1    1.11e-03    1.77e-02
  22  3.255345e+17    1.40e+16    1.34e+18   2.53e+00   6.01e-01  1.52e+00        1    9.05e-04    1.87e-02
  23  3.119736e+17    1.36e+16    1.30e+18   2.10e+00   5.98e-01  1.53e+00        1    8.70e-04    1.95e-02
  24  2.988761e+17    1.31e+16    1.27e+18   1.83e+00   5.96e-01  1.54e+00        1    9.11e-04    2.04e-02
  25  2.862409e+17    1.26e+16    1.24e+18   1.65e+00   5.93e-01  1.56e+00        1    8.47e-04    2.13e-02
  26  2.740629e+17    1.22e+16    1.20e+18   1.52e+00   5.91e-01  1.56e+00        1    8.47e-04    2.22e-02
