Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  50  9.397748e+16    4.35e+15    5.75e+17   5.45e-01   5.65e-01  1.62e+00        1    8.15e-04    4.03e-02
residual 9.39775e+16
Accelerometers Calibration: Extracted 38 intervals using threshold multiplier 6 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.059922e+17    0.00e+00    4.52e+18   0.00e+00   0.00e+00  1.00e+04        0    4.35e-04    5.99e-04
   1  5.725834e+19   -5.68e+19    4.52e+18   2.37e+04  -1.12e+02  5.00e+03        1    4.02e-04    1.01e-03
   2  5.212295e+19   -5.16e+19    4.52e+18   2.24e+04  -1.02e+02  1.25e+03        1    3.91e-04    1.41e-03
   3  4.023478e+19   -3.97e+19    4.52e+18   1.88e+04  -7.94e+01  1.56e+02        1    3.89e-04    1.80e-03
   4  1.098606e+19   -1.05e+19    4.52e+18   9.73e+03  -2.47e+01  9.77e+00        1    3.89e-04    2.20e-03
   5  5.351940e+17   -2.92e+16    4.52e+18   1.31e+03  -2.02e-01  3.05e-01        1    3.89e-04    2.60e-03
   6  4.800105e+17    2.60e+16    3.26e+18   2.30e+02   4.27e-01  3.04e-01        1    8.07e-04    3.41e-03
   7  4.671711e+17    1.28e+16    2.45e+18   1.36e+02   4.68e-01  3.04e-01        1    8.12e-04    4.23e-03
   8  4.592414e+17    7.93e+15    1.92e+18   8.11e+01   5.42e-01  3.04e-01        1    8.12e-04    5.05e-03
   9  4.533059e+17    5.94e+15    1.59e+18   5.02e+01   6.31e-01  3.10e-01        1    8.11e-04    5.87e-03
  10  4.482162e+17    5.09e+15    1.36e+18   3.20e+01   7.12e-01  3.35e-01        1    8.11e-04    6.68e-03
  11  4.433113e+17    4.90e+15    1.22e+18   2.10e+01   7.76e-01  4.03e-01        1    8.13e-04    7.50e-03
  12  4.379702e+17    5.34e+15    1.13e+18   1.42e+01   8.21e-01  5.49e-01        1    8.11e-04    8.33e-03
  13  4.314015e+17    6.57e+15    1.11e+18   1.59e+01   8.41e-01  8.04e-01        1    8.11e-04    9.15e-03
  14  4.227167e+17    8.68e+15    1.17e+18   3.13e+01   8.19e-01  1.08e+00        1    8.10e-04    9.96e-03
  15  4.116625e+17    1.11e+16    1.28e+18   4.10e+01   7.55e-01  1.25e+00        1    8.11e-04    1.08e-02
  16  3.988057e+17    1.29e+16    1.36e+18   3.10e+01   6.90e-01  1.32e+00        1    8.14e-04    1.16e-02
  17  3.850216e+17    1.38e+16    1.40e+18   1.87e+01   6.50e-01  1.36e+00        1    8.11e-04    1.24e-02
  18  3.709709e+17    1.41e+16    1.40e+18   1.10e+01   6.29e-01  1.38e+00        1    8.11e-04    1.32e-02
  19  3.569983e+17    1.40e+16    1.39e+18   6.71e+00   6.17e-01  1.40e+00        1    8.11e-04    1.41e-02
  20  3.432766e+17    1.37e+16    1.37e+18   4.39e+00   6.10e-01  1.42e+00        1    8.11e-04    1.49e-02
  21  3.298920e+17    1.34e+16    1.34e+18   3.13e+00   6.05e-01  1.43e+00        1    8.16e-04    1.57e-02
  22  3.168862e+17    1.30e+16    1.31e+18   2.43e+00   6.02e-01  1.44e+00        1    8.10e-04    1.65e-02
  23  3.042780e+17    1.26e+16    1.28e+18   2.03e+00   5.99e-01  1.45e+00        1    8.11e-04    1.73e-02
  24  2.920745e+17    1.22e+16    1.24e+18   1.77e+00   5.96e-01  1.47e+00        1    8.12e-04    1.81e-02
  25  2.802761e+17    1.18e+16    1.21e+18   1.59e+00   5.94e-01  1.48e+00        1    8.11e-04    1.90e-02
  26  2.688796e+17    1.14e+16    1.18e+18   1.46e+00   5.92e-01  1.48e+00        1    8.13e-04    1.98e-02
  27  2.578797e+17    1.10e+16    1.15e+18   1.36e+00   5.90e-01  1.49e+00        1    8.11e-04    2.06e-02
  28  2.472696e+17    1.06e+16    1.12e+18   1.27e+00   5.89e-01  1.50e+00        1    8.11e-04    2.14e-02
  29  2.370415e+17    1.02e+16    1.09e+18   1.20e+00   5.87e-01  1.51e+00        1    8.11e-04    2.22e-02
  30  2.271869e+17    9.85e+15    1.06e+18   1.13e+00   5.86e-01  1.52e+00        1    8.13e-04    2.31e-02
  31  2.176969e+17    9.49e+15    1.03e+18   1.07e+00   5.84e-01  1.52e+00        1    8.12e-04    2.39e-02
  32  2.085623e+17    9.13e+15    9.98e+17   1.02e+00   5.83e-01  1.53e+00        1    8.13e-04    2.47e-02
  33  1.997734e+17    8.79e+15    9.69e+17   9.69e-01   5.81e-01  1.54e+00        1    8.12e-04    2.55e-02
  34  1.913205e+17    8.45e+15    9.42e+17   9.24e-01   5.80e-01  1.54e+00        1    8.12e-04    2.63e-02
  35  1.831940e+17    8.13e+15    9.14e+17   8.82e-01   5.79e-01  1.55e+00        1    8.13e-04    2.72e-02
  36  1.753839e+17    7.81e+15    8.87e+17   8.43e-01   5.78e-01  1.56e+00        1    8.11e-04    2.80e-02
  37  1.678804e+17    7.50e+15    8.61e+17   8.08e-01   5.77e-01  1.56e+00        1    8.10e-04    2.88e-02
  38  1.606738e+17    7.21e+15    8.36e+17   7.75e-01   5.76e-01  1.57e+00        1    8.12e-04    2.96e-02
  39  1.537544e+17    6.92e+15    8.11e+17   7.45e-01   5.74e-01  1.57e+00        1    8.12e-04    3.04e-02
  40  1.471126e+17    6.64e+15    7.86e+17   7.17e-01   5.73e-01  1.58e+00        1    8.14e-04    3.12e-02
  41  1.407389e+17    6.37e+15    7.63e+17   6.92e-01   5.72e-01  1.58e+00        1    8.10e-04    3.21e-02
  42  1.346242e+17    6.11e+15    7.39e+17   6.68e-01   5.71e-01  1.59e+00        1    8.11e-04    3.29e-02
  43  1.287593e+17    5.86e+15    7.17e+17   6.47e-01   5.71e-01  1.59e+00        1    8.09e-04    3.37e-02
  44  1.231354e+17    5.62e+15    6.95e+17   6.27e-01   5.70e-01  1.60e+00        1    8.11e-04    3.45e-02
  45  1.177436e+17    5.39e+15    6.73e+17   6.10e-01   5.69e-01  1.60e+00        1    8.14e-04    3.53e-02
  46  1.125755e+17    5.17e+15    6.53e+17   5.94e-01   5.68e-01  1.60e+00        1    8.11e-04    3.61e-02
  47  1.076228e+17    4.95e+15    6.32e+17   5.79e-01   5.67e-01  1.61e+00        1    8.11e-04    3.70e-02
  48  1.028775e+17    4.75e+15    6.12e+17   5.67e-01   5.66e-01  1.61e+00        1    8.11e-04    3.78e-02
  49  9.833161e+16    4.55e+15    5.93e+17   5.55e-01   5.66e-01  1.62e+00        1    8.11e-04    3.86e-02
  50  9.397764e+16    4.35e+15    5.75e+17   5.45e-01   5.65e-01  1.62e+00        1    8.22e-04    3.94e-02
residual 9.39776e+16
Accelerometers Calibration: Extracted 38 intervals using threshold multiplier 7 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.059970e+17    0.00e+00    4.52e+18   0.00e+00   0.00e+00  1.00e+04        0    4.43e-04    6.03e-04
   1  5.725857e+19   -5.68e+19    4.52e+18   2.37e+04  -1.12e+02  5.00e+03        1    3.99e-04    1.01e-03
   2  5.212310e+19   -5.16e+19    4.52e+18   2.24e+04  -1.02e+02  1.25e+03        1    3.89e-04    1.41e-03
   3  4.023473e+19   -3.97e+19    4.52e+18   1.88e+04  -7.94e+01  1.56e+02        1    3.87e-04    1.80e-03
   4  1.098624e+19   -1.05e+19    4.52e+18   9.73e+03  -2.47e+01  9.77e+00        1    3.87e-04    2.20e-03
   5  5.352011e+17   -2.92e+16    4.52e+18   1.31e+03  -2.02e-01  3.05e-01        1    3.90e-04    2.59e-03
   6  4.800158e+17    2.60e+16    3.26e+18   2.30e+02   4.27e-01  3.04e-01        1    8.07e-04    3.41e-03
   7  4.671764e+17    1.28e+16    2.45e+18   1.36e+02   4.68e-01  3.04e-01        1    8.13e-04    4.23e-03
   8  4.592468e+17    7.93e+15    1.92e+18   8.11e+01   5.42e-01  3.04e-01        1    8.13e-04    5.05e-03
   9  4.533111e+17    5.94e+15    1.59e+18   5.02e+01   6.31e-01  3.10e-01        1    8.16e-04    5.87e-03
  10  4.482213e+17    5.09e+15    1.36e+18   3.20e+01   7.12e-01  3.35e-01        1    8.18e-04    6.70e-03
  11  4.433164e+17    4.90e+15    1.22e+18   2.10e+01   7.76e-01  4.03e-01        1    8.16e-04    7.52e-03
  12  4.379752e+17    5.34e+15    1.13e+18   1.42e+01   8.21e-01  5.49e-01        1    8.15e-04    8.34e-03
  13  4.314063e+17    6.57e+15    1.11e+18   1.59e+01   8.41e-01  8.04e-01        1    8.16e-04    9.16e-03
  14  4.227211e+17    8.69e+15    1.17e+18   3.13e+01   8.19e-01  1.08e+00        1    8.16e-04    9.99e-03
  15  4.116666e+17    1.11e+16    1.28e+18   4.10e+01   7.55e-01  1.25e+00        1    8.17e-04    1.08e-02
  16  3.988094e+17    1.29e+16    1.36e+18   3.10e+01   6.90e-01  1.32e+00        1    8.16e-04    1.16e-02
  17  3.850250e+17    1.38e+16    1.40e+18   1.87e+01   6.50e-01  1.36e+00        1    8.13e-04    1.25e-02
  18  3.709740e+17    1.41e+16    1.40e+18   1.10e+01   6.29e-01  1.38e+00        1    8.16e-04    1.33e-02
  19  3.570011e+17    1.40e+16    1.39e+18   6.71e+00   6.17e-01  1.40e+00        1    8.14e-04    1.41e-02
  20  3.432791e+17    1.37e+16    1.37e+18   4.39e+00   6.10e-01  1.42e+00        1    8.18e-04    1.49e-02
  21  3.298943e+17    1.34e+16    1.34e+18   3.13e+00   6.05e-01  1.43e+00        1    8.14e-04    1.57e-02
  22  3.168882e+17    1.30e+16    1.31e+18   2.43e+00   6.02e-01  1.44e+00        1    8.17e-04    1.66e-02
  23  3.042798e+17    1.26e+16    1.28e+18   2.03e+00   5.99e-01  1.45e+00        1    8.12e-04    1.74e-02
  24  2.920761e+17    1.22e+16    1.24e+18   1.77e+00   5.96e-01  1.47e+00        1    8.14e-04    1.82e-02
  25  2.802775e+17    1.18e+16    1.21e+18   1.59e+00   5.94e-01  1.48e+00        1    8.18e-04    1.90e-02
  26  2.688809e+17    1.14e+16    1.18e+18   1.46e+00   5.92e-01  1.48e+00        1    8.17e-04    1.99e-02
  27  2.578808e+17    1.10e+16    1.15e+18   1.36e+00   5.90e-01  1.49e+00        1    8.39e-04    2.33e-02
  28  2.472705e+17    1.06e+16    1.12e+18   1.27e+00   5.89e-01  1.50e+00        1    8.27e-04    2.41e-02
  29  2.370423e+17    1.02e+16    1.09e+18   1.20e+00   5.87e-01  1.51e+00        1    8.01e-04    2.49e-02
  30  2.271876e+17    9.85e+15    1.06e+18   1.13e+00   5.86e-01  1.52e+00        1    7.98e-04    2.57e-02
  31  2.176974e+17    9.49e+15    1.03e+18   1.07e+00   5.84e-01  1.52e+00        1    7.98e-04    2.65e-02
  32  2.085627e+17    9.13e+15    9.98e+17   1.02e+00   5.83e-01  1.53e+00        1    8.00e-04    2.73e-02
  33  1.997736e+17    8.79e+15    9.69e+17   9.69e-01   5.81e-01  1.54e+00        1    7.95e-04    2.82e-02
  34  1.913207e+17    8.45e+15    9.42e+17   9.24e-01   5.80e-01  1.54e+00        1    7.96e-04    2.90e-02
  35  1.831941e+17    8.13e+15    9.14e+17   8.82e-01   5.79e-01  1.55e+00        1    8.66e-04    2.98e-02
  36  1.753839e+17    7.81e+15    8.87e+17   8.43e-01   5.78e-01  1.56e+00        1    8.33e-04    3.07e-02
  37  1.678803e+17    7.50e+15    8.61e+17   8.08e-01   5.77e-01  1.56e+00        1    8.30e-04    3.15e-02
  38  1.606736e+17    7.21e+15    8.36e+17   7.75e-01   5.76e-01  1.57e+00        1    8.32e-04    3.23e-02
  39  1.537541e+17    6.92e+15    8.11e+17   7.45e-01   5.74e-01  1.57e+00        1    8.31e-04    3.32e-02
  40  1.471123e+17    6.64e+15    7.86e+17   7.17e-01   5.73e-01  1.58e+00        1    8.30e-04    3.40e-02
  41  1.407386e+17    6.37e+15    7.63e+17   6.92e-01   5.72e-01  1.58e+00        1    8.68e-04    3.49e-02
  42  1.346238e+17    6.11e+15    7.39e+17   6.68e-01   5.71e-01  1.59e+00        1    7.95e-04    3.57e-02
  43  1.287589e+17    5.86e+15    7.17e+17   6.47e-01   5.71e-01  1.59e+00        1    7.96e-04    3.65e-02
  44  1.231349e+17    5.62e+15    6.95e+17   6.27e-01   5.70e-01  1.60e+00        1    8.30e-04    3.73e-02
  45  1.177430e+17    5.39e+15    6.73e+17   6.10e-01   5.69e-01  1.60e+00        1    7.95e-04    3.81e-02
  46  1.125749e+17    5.17e+15    6.53e+17   5.94e-01   5.68e-01  1.60e+00        1    8.37e-04    3.90e-02
  47  1.076222e+17    4.95e+15    6.32e+17   5.79e-01   5.67e-01  1.61e+00        1    7.94e-04    3.98e-02
  48  1.028768e+17    4.75e+15    6.12e+17   5.67e-01   5.66e-01  1.61e+00        1    7.94e-04    4.06e-02
  49  9.833098e+16    4.55e+15    5.93e+17   5.55e-01   5.66e-01  1.62e+00        1    7.97e-04    4.14e-02
  50  9.397700e+16    4.35e+15    5.75e+17   5.45e-01   5.65e-01  1.62e+00        1    7.97e-04    4.22e-02
residual 9.3977e+16
Accelerometers Calibration: Extracted 38 intervals using threshold multiplier 8 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.060046e+17    0.00e+00    4.52e+18   0.00e+00   0.00e+00  1.00e+04        0    4.33e-04    5.93e-04
   1  5.725899e+19   -5.68e+19    4.52e+18   2.37e+04  -1.12e+02  5.00e+03        1    3.91e-04    9.94e-04
   2  5.212339e+19   -5.16e+19    4.52e+18   2.24e+04  -1.02e+02  1.25e+03        1    3.80e-04    1.38e-03
   3  4.023499e+19   -3.97e+19    4.52e+18   1.88e+04  -7.94e+01  1.56e+02        1    3.80e-04    1.77e-03
   4  1.098649e+19   -1.05e+19    4.52e+18   9.73e+03  -2.47e+01  9.77e+00        1    3.79e-04    2.15e-03
   5  5.352116e+17   -2.92e+16    4.52e+18   1.31e+03  -2.02e-01  3.05e-01        1    3.79e-04    2.54e-03
   6  4.800247e+17    2.60e+16    3.26e+18   2.30e+02   4.27e-01  3.04e-01        1    8.13e-04    3.36e-03
   7  4.671857e+17    1.28e+16    2.45e+18   1.36e+02   4.68e-01  3.04e-01        1    8.22e-04    4.19e-03
   8  4.592561e+17    7.93e+15    1.92e+18   8.11e+01   5.42e-01  3.04e-01        1    7.97e-04    4.99e-03
   9  4.533204e+17    5.94e+15    1.59e+18   5.02e+01   6.31e-01  3.10e-01        1    7.97e-04    5.80e-03
  10  4.482305e+17    5.09e+15    1.36e+18   3.20e+01   7.12e-01  3.35e-01        1    7.96e-04    6.60e-03
  11  4.433255e+17    4.91e+15    1.22e+18   2.10e+01   7.76e-01  4.03e-01        1    7.97e-04    7.41e-03
  12  4.379840e+17    5.34e+15    1.13e+18   1.42e+01   8.21e-01  5.49e-01        1    8.04e-04    8.22e-03
  13  4.314146e+17    6.57e+15    1.11e+18   1.59e+01   8.41e-01  8.04e-01        1    7.97e-04    9.02e-03
  14  4.227288e+17    8.69e+15    1.17e+18   3.13e+01   8.19e-01  1.08e+00        1    7.98e-04    9.82e-03
  15  4.116736e+17    1.11e+16    1.28e+18   4.10e+01   7.55e-01  1.25e+00        1    8.40e-04    1.07e-02
  16  3.988157e+17    1.29e+16    1.36e+18   3.10e+01   6.90e-01  1.32e+00        1    8.07e-04    1.15e-02
  17  3.850307e+17    1.38e+16    1.40e+18   1.87e+01   6.50e-01  1.36e+00        1    7.98e-04    1.23e-02
  18  3.709792e+17    1.41e+16    1.40e+18   1.10e+01   6.29e-01  1.38e+00        1    7.98e-04    1.31e-02
  19  3.570059e+17    1.40e+16    1.39e+18   6.71e+00   6.17e-01  1.40e+00        1    7.98e-04    1.39e-02
  20  3.432836e+17    1.37e+16    1.37e+18   4.39e+00   6.10e-01  1.42e+00        1    7.98e-04    1.47e-02
  21  3.298984e+17    1.34e+16    1.34e+18   3.13e+00   6.05e-01  1.43e+00        1    8.05e-04    1.55e-02
  22  3.168920e+17    1.30e+16    1.31e+18   2.43e+00   6.02e-01  1.44e+00        1    1.09e-03    1.66e-02
  23  3.042833e+17    1.26e+16    1.28e+18   2.03e+00   5.99e-01  1.45e+00        1    8.33e-04    1.75e-02
  24  2.920792e+17    1.22e+16    1.24e+18   1.77e+00   5.96e-01  1.47e+00        1    8.50e-04    1.83e-02
  25  2.802803e+17    1.18e+16    1.21e+18   1.59e+00   5.94e-01  1.48e+00        1    9.75e-04    1.93e-02
  26  2.688834e+17    1.14e+16    1.18e+18   1.46e+00   5.92e-01  1.48e+00        1    8.73e-04    2.02e-02
  27  2.578831e+17    1.10e+16    1.15e+18   1.36e+00   5.90e-01  1.49e+00        1    7.98e-04    2.10e-02
  28  2.472726e+17    1.06e+16    1.12e+18   1.27e+00   5.89e-01  1.50e+00        1    7.96e-04    2.18e-02
  29  2.370442e+17    1.02e+16    1.09e+18   1.20e+00   5.87e-01  1.51e+00        1    7.97e-04    2.26e-02
  30  2.271892e+17    9.85e+15    1.06e+18   1.13e+00   5.86e-01  1.52e+00        1    7.98e-04    2.34e-02
  31  2.176989e+17    9.49e+15    1.03e+18   1.07e+00   5.84e-01  1.52e+00        1    8.64e-04    2.43e-02
  32  2.085640e+17    9.13e+15    9.98e+17   1.02e+00   5.83e-01  1.53e+00        1    8.36e-04    2.51e-02
  33  1.997748e+17    8.79e+15    9.69e+17   9.69e-01   5.81e-01  1.54e+00        1    7.98e-04    2.59e-02
  34  1.913217e+17    8.45e+15    9.42e+17   9.24e-01   5.80e-01  1.54e+00        1    7.98e-04    2.67e-02
  35  1.831949e+17    8.13e+15    9.14e+17   8.82e-01   5.79e-01  1.55e+00        1    8.43e-04    2.76e-02
  36  1.753846e+17    7.81e+15    8.87e+17   8.43e-01   5.78e-01  1.56e+00        1    7.98e-04    2.84e-02
  37  1.678809e+17    7.50e+15    8.61e+17   8.08e-01   5.77e-01  1.56e+00        1    7.99e-04    2.92e-02
  38  1.606741e+17    7.21e+15    8.36e+17   7.75e-01   5.76e-01  1.57e+00        1    7.98e-04    3.00e-02
  39  1.537546e+17    6.92e+15    8.11e+17   7.45e-01   5.74e-01  1.57e+00        1    7.98e-04    3.08e-02
  40  1.471126e+17    6.64e+15    7.86e+17   7.17e-01   5.73e-01  1.58e+00        1    8.44e-04    3.16e-02
  41  1.407388e+17    6.37e+15    7.63e+17   6.92e-01   5.72e-01  1.58e+00        1    8.40e-04    3.25e-02
  42  1.346240e+17    6.11e+15    7.39e+17   6.68e-01   5.71e-01  1.59e+00        1    7.99e-04    3.33e-02
  43  1.287590e+17    5.87e+15    7.17e+17   6.47e-01   5.71e-01  1.59e+00        1    7.98e-04    3.41e-02
  44  1.231349e+17    5.62e+15    6.95e+17   6.27e-01   5.70e-01  1.60e+00        1    7.98e-04    3.49e-02
  45  1.177430e+17    5.39e+15    6.73e+17   6.10e-01   5.69e-01  1.60e+00        1    8.40e-04    3.58e-02
  46  1.125748e+17    5.17e+15    6.53e+17   5.94e-01   5.68e-01  1.60e+00        1    9.97e-04    3.68e-02
  47  1.076220e+17    4.95e+15    6.32e+17   5.79e-01   5.67e-01  1.61e+00        1    8.87e-04    3.77e-02
  48  1.028766e+17    4.75e+15    6.12e+17   5.67e-01   5.66e-01  1.61e+00        1    8.17e-04    3.85e-02
  49  9.833072e+16    4.55e+15    5.93e+17   5.55e-01   5.66e-01  1.62e+00        1    8.15e-04    3.93e-02
  50  9.397670e+16    4.35e+15    5.75e+17   5.45e-01   5.65e-01  1.62e+00        1    8.24e-04    4.01e-02
residual 9.39767e+16
Accelerometers Calibration: Extracted 38 intervals using threshold multiplier 9 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.060030e+17    0.00e+00    4.52e+18   0.00e+00   0.00e+00  1.00e+04        0    4.71e-04    6.30e-04
   1  5.725662e+19   -5.68e+19    4.52e+18   2.37e+04  -1.12e+02  5.00e+03        1    3.90e-04    1.03e-03
   2  5.212295e+19   -5.16e+19    4.52e+18   2.24e+04  -1.02e+02  1.25e+03        1    3.79e-04    1.42e-03
   3  4.023602e+19   -3.97e+19    4.52e+18   1.88e+04  -7.94e+01  1.56e+02        1    3.79e-04    1.80e-03
   4  1.098678e+19   -1.05e+19    4.52e+18   9.73e+03  -2.48e+01  9.77e+00        1    3.78e-04    2.19e-03
   5  5.352147e+17   -2.92e+16    4.52e+18   1.31e+03  -2.02e-01  3.05e-01        1    3.81e-04    2.58e-03
   6  4.800242e+17    2.60e+16    3.26e+18   2.30e+02   4.27e-01  3.04e-01        1    7.86e-04    3.38e-03
   7  4.671857e+17    1.28e+16    2.45e+18   1.36e+02   4.68e-01  3.04e-01        1    7.95e-04    4.18e-03
   8  4.592564e+17    7.93e+15    1.92e+18   8.11e+01   5.42e-01  3.04e-01        1    1.25e-03    5.44e-03
   9  4.533209e+17    5.94e+15    1.59e+18   5.01e+01   6.31e-01  3.10e-01        1    1.16e-03    6.61e-03
  10  4.482311e+17    5.09e+15    1.36e+18   3.20e+01   7.12e-01  3.35e-01        1    8.14e-04    7.43e-03
  11  4.433260e+17    4.91e+15    1.22e+18   2.10e+01   7.76e-01  4.03e-01        1    8.14e-04    8.25e-03
  12  4.379844e+17    5.34e+15    1.13e+18   1.42e+01   8.21e-01  5.49e-01        1    8.13e-04    9.07e-03
  13  4.314150e+17    6.57e+15    1.11e+18   1.59e+01   8.41e-01  8.04e-01        1    8.14e-04    9.89e-03
  14  4.227293e+17    8.69e+15    1.17e+18   3.13e+01   8.19e-01  1.08e+00        1    8.23e-04    1.07e-02
  15  4.116743e+17    1.11e+16    1.28e+18   4.10e+01   7.55e-01  1.25e+00        1    7.95e-04    1.15e-02
  16  3.988169e+17    1.29e+16    1.36e+18   3.10e+01   6.90e-01  1.32e+00        1    7.95e-04    1.23e-02
  17  3.850324e+17    1.38e+16    1.40e+18   1.87e+01   6.50e-01  1.36e+00        1    7.94e-04    1.31e-02
  18  3.709814e+17    1.41e+16    1.40e+18   1.10e+01   6.29e-01  1.38e+00        1    7.95e-04    1.39e-02
  19  3.570086e+17    1.40e+16    1.39e+18   6.71e+00   6.17e-01  1.40e+00        1    8.29e-04    1.48e-02
  20  3.432867e+17    1.37e+16    1.37e+18   4.39e+00   6.10e-01  1.42e+00        1    7.94e-04    1.56e-02
  21  3.299019e+17    1.34e+16    1.34e+18   3.13e+00   6.05e-01  1.43e+00        1    7.95e-04    1.64e-02
  22  3.168959e+17    1.30e+16    1.31e+18   2.43e+00   6.02e-01  1.44e+00        1    7.94e-04    1.72e-02
  23  3.042875e+17    1.26e+16    1.28e+18   2.03e+00   5.99e-01  1.45e+00        1    7.94e-04    1.80e-02
  24  2.920838e+17    1.22e+16    1.24e+18   1.77e+00   5.96e-01  1.47e+00        1    8.33e-04    1.88e-02
  25  2.802852e+17    1.18e+16    1.21e+18   1.59e+00   5.94e-01  1.47e+00        1    7.95e-04    1.96e-02
  26  2.688885e+17    1.14e+16    1.18e+18   1.46e+00   5.92e-01  1.48e+00        1    7.95e-04    2.04e-02
  27  2.578885e+17    1.10e+16    1.15e+18   1.36e+00   5.90e-01  1.49e+00        1    7.95e-04    2.12e-02
  28  2.472781e+17    1.06e+16    1.12e+18   1.27e+00   5.89e-01  1.50e+00        1    8.27e-04    2.20e-02
  29  2.370498e+17    1.02e+16    1.09e+18   1.20e+00   5.87e-01  1.51e+00        1    7.97e-04    2.28e-02
  30  2.271950e+17    9.85e+15    1.06e+18   1.13e+00   5.86e-01  1.52e+00        1    7.95e-04    2.36e-02
  31  2.177049e+17    9.49e+15    1.03e+18   1.07e+00   5.84e-01  1.52e+00        1    7.94e-04    2.44e-02
  32  2.085700e+17    9.13e+15    9.98e+17   1.02e+00   5.83e-01  1.53e+00        1    7.92e-04    2.52e-02
  33  1.997809e+17    8.79e+15    9.70e+17   9.69e-01   5.81e-01  1.54e+00        1    7.94e-04    2.60e-02
  34  1.913279e+17    8.45e+15    9.42e+17   9.24e-01   5.80e-01  1.54e+00        1    7.97e-04    2.69e-02
  35  1.832011e+17    8.13e+15    9.14e+17   8.82e-01   5.79e-01  1.55e+00        1    7.93e-04    2.77e-02
  36  1.753908e+17    7.81e+15    8.87e+17   8.43e-01   5.78e-01  1.56e+00        1    7.94e-04    2.85e-02
  37  1.678872e+17    7.50e+15    8.61e+17   8.08e-01   5.77e-01  1.56e+00        1    8.61e-04    2.93e-02
  38  1.606804e+17    7.21e+15    8.36e+17   7.75e-01   5.76e-01  1.57e+00        1    7.95e-04    3.01e-02
  39  1.537608e+17    6.92e+15    8.11e+17   7.45e-01   5.74e-01  1.57e+00        1    8.43e-04    3.10e-02
  40  1.471188e+17    6.64e+15    7.86e+17   7.17e-01   5.73e-01  1.58e+00        1    7.94e-04    3.18e-02
  41  1.407450e+17    6.37e+15    7.63e+17   6.92e-01   5.72e-01  1.58e+00        1    7.94e-04    3.26e-02
  42  1.346301e+17    6.11e+15    7.39e+17   6.68e-01   5.71e-01  1.59e+00        1    7.95e-04    3.34e-02
  43  1.287650e+17    5.87e+15    7.17e+17   6.47e-01   5.71e-01  1.59e+00        1    8.42e-04    3.42e-02
  44  1.231408e+17    5.62e+15    6.95e+17   6.27e-01   5.70e-01  1.60e+00        1    8.71e-04    3.51e-02
  45  1.177489e+17    5.39e+15    6.73e+17   6.10e-01   5.69e-01  1.60e+00        1    8.33e-04    3.59e-02
  46  1.125806e+17    5.17e+15    6.53e+17   5.94e-01   5.68e-01  1.60e+00        1    8.67e-04    3.68e-02
  47  1.076278e+17    4.95e+15    6.32e+17   5.79e-01   5.67e-01  1.61e+00        1    7.98e-04    3.76e-02
  48  1.028822e+17    4.75e+15    6.13e+17   5.67e-01   5.66e-01  1.61e+00        1    8.03e-04    3.84e-02
  49  9.833625e+16    4.55e+15    5.93e+17   5.55e-01   5.66e-01  1.62e+00        1    8.02e-04    3.92e-02
  50  9.398212e+16    4.35e+15    5.75e+17   5.45e-01   5.65e-01  1.62e+00        1    7.94e-04    4.01e-02
residual 9.39821e+16
Accelerometers Calibration: Extracted 38 intervals using threshold multiplier 10 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.059980e+17    0.00e+00    4.52e+18   0.00e+00   0.00e+00  1.00e+04        0    4.33e-04    5.91e-04
   1  5.725147e+19   -5.67e+19    4.52e+18   2.37e+04  -1.12e+02  5.00e+03        1    3.91e-04    9.93e-04
   2  5.212264e+19   -5.16e+19    4.52e+18   2.24e+04  -1.02e+02  1.25e+03        1    3.80e-04    1.38e-03
   3  4.023873e+19   -3.97e+19    4.52e+18   1.88e+04  -7.94e+01  1.56e+02        1    3.89e-04    1.78e-03
   4  1.098728e+19   -1.05e+19    4.52e+18   9.73e+03  -2.48e+01  9.77e+00        1    3.80e-04    2.16e-03
   5  5.352131e+17   -2.92e+16    4.52e+18   1.31e+03  -2.03e-01  3.05e-01        1    3.79e-04    2.55e-03
   6  4.800197e+17    2.60e+16    3.26e+18   2.30e+02   4.27e-01  3.04e-01        1    8.35e-04    3.39e-03
   7  4.671815e+17    1.28e+16    2.45e+18   1.36e+02   4.68e-01  3.04e-01        1    8.23e-04    4.22e-03
